id,title,popularity,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,sciencefiction,thriller,tvmovie,war,western
2045,Unforgettable,2.464425,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
9614,Happy Gilmore,9.592265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,The Bridges of Madison County,5.951077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11907,Nobody Loves Me,1.015068,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10874,Muppet Treasure Island,6.902423,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
89333,Catwalk,0.976707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96357,Headless Body in Topless Bar,0.001346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Braveheart,20.755149,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
103,Taxi Driver,14.092713,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33542,Rumble in the Bronx,12.314278,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43566,Before and After,2.938293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
71754,Margaret's Museum,0.372697,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43612,Happiness Is in the Field,1.254885,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51352,Anne Frank Remembered,0.243986,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16934,The Young Poisoner's Handbook,6.178497,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10324,If Lucy Fell,2.891918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78406,Steal Big Steal Little,1.522412,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55731,Race the Sun,1.317878,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32119,The Boys of St. Vincent,0.86539,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11066,Boomerang,6.506983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11104,Chungking Express,6.778979,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37975,The Star Maker,1.702639,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2074,Flirting with Disaster,5.579088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27793,The Neverending Story III: Escape from Fantasia,6.252377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44284,The Silences of the Palace,0.406754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290157,Jupiter's Wife,0.001178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110972,Pie in the Sky,0.699066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32622,Angela,2.197439,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73067,Frankie Starlight,0.637554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11863,Jade,11.418917,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
55475,Nueba Yol,0.291021,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
