id,title,popularity,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,sciencefiction,thriller,tvmovie,war,western
437031,Rescue Under Fire,33.536359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312221,Creed,33.449723,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
603,The Matrix,33.366332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
216015,Fifty Shades of Grey,33.068431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
135397,Jurassic World,32.790475,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
157336,Interstellar,32.213481,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
311,Once Upon a Time in America,32.182851,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,32.070725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137113,Edge of Tomorrow,31.982986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
397243,The Autopsy of Jane Doe,31.772396,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
122917,The Hobbit: The Battle of the Five Armies,31.718977,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140607,Star Wars: The Force Awakens,31.626013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
205596,The Imitation Game,31.59594,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
209112,Batman v Superman: Dawn of Justice,31.435879,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,Pirates of the Caribbean: At World's End,31.363664,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195590,Collide,31.314013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8966,Twilight,31.282029,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1930,The Amazing Spider-Man,31.102267,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
374720,Dunkirk,30.938854,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
329865,Arrival,30.83786,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
76203,12 Years a Slave,30.316249,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
198184,Chappie,30.206365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87101,Terminator Genisys,30.188198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
345914,The House,30.146847,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18239,The Twilight Saga: New Moon,30.121292,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
672,Harry Potter and the Chamber of Secrets,29.741452,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,29.455314,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
293167,Kong: Skull Island,29.429112,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,The Lord of the Rings: The Two Towers,29.423537,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
557,Spider-Man,29.413341,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76341,Mad Max: Fury Road,29.36178,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
122,The Lord of the Rings: The Return of the King,29.324358,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10195,Thor,29.158489,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341174,Fifty Shades Darker,29.130443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27205,Inception,29.108149,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
381288,Split,28.920839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
246655,X-Men: Apocalypse,28.712522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
272,Batman Begins,28.505341,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673,Harry Potter and the Prisoner of Azkaban,28.460276,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
463906,The Saint,28.23593,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207703,Kingsman: The Secret Service,28.224212,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417830,Diary of a Wimpy Kid: The Long Haul,28.176992,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1865,Pirates of the Caribbean: On Stranger Tides,27.88772,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262500,Insurgent,27.887186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
238636,The Purge: Anarchy,27.756026,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
559,Spider-Man 3,27.614265,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121856,Assassin's Creed,27.54107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225886,Sex Tape,27.470696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168259,Furious 7,27.275687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145135,Dark Skies,26.972326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
597,Titanic,26.88907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
102899,Ant-Man,26.882388,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1417,Pan's Labyrinth,26.817754,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
131634,The Hunger Games: Mockingjay - Part 2,26.628178,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
585,"Monsters, Inc.",26.419962,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102382,The Amazing Spider-Man 2,26.23687,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72190,World War Z,26.114917,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
50620,The Twilight Saga: Breaking Dawn - Part 2,26.080995,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
127585,X-Men: Days of Future Past,26.058586,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
269149,Zootopia,26.024868,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50619,The Twilight Saga: Breaking Dawn - Part 1,25.9725,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
300669,Don't Breathe,25.869883,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105,Back to the Future,25.778509,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
286217,The Martian,25.62993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
